permno,comnam
14552.0,IGNYTA INC
14553.0,SQUARE 1 FINANCIAL INC
14554.0,2 U INC
14555.0,VERSARTIS INC
14555.0,ARAVIVE INC
14556.0,ENERGOUS CORP
14557.0,ADVISORSHARES TRUST
14558.0,ALLY FINANCIAL INC
14559.0,CITY OFFICE REIT INC
14560.0,D B X ETF TRUST
14561.0,DIREXION SHARES E T F TRUST II
14562.0,DIREXION SHARES E T F TRUST II
14563.0,E G A EMERGING GLOBAL SHARES TR
14564.0,ENABLE MIDSTREAM PARTNERS LP
14565.0,F S INVESTMENT CORP
14565.0,F S K K R CAPITAL CORP
14566.0,FARMLAND PARTNERS INC
14567.0,GRUBHUB INC
14568.0,STANDARD GAS & ELEC CO
14569.0,APOLLO LASERS INC
14570.0,I M S HEALTH HOLDINGS INC
14571.0,ISHARES TRUST
14572.0,LEJU HOLDINGS LTD
14573.0,LA QUINTA HOLDINGS INC
14574.0,MOELIS & CO
14575.0,NEW YORK REIT INC
14576.0,STANDARD MLG CO
14577.0,APPALACHIAN NATIONAL CORP
14578.0,OPOWER INC
14579.0,PAYCOM SOFTWARE INC
14580.0,RUBICON PROJECT INC
14581.0,WISDOMTREE TRUST
14582.0,WISDOMTREE TRUST
14583.0,WISDOMTREE TRUST
14584.0,STANDARD PLATE GLASS CO
14585.0,APPALACHIAN RESOURCES CO
14586.0,WISDOMTREE TRUST
14587.0,WISDOMTREE TRUST
14588.0,ZOES KITCHEN INC
14589.0,ADAMAS PHARMACEUTICALS INC
14590.0,BOULEVARD ACQUISITION CORP
14590.0,AGROFRESH SOLUTIONS INC
14591.0,CERULEAN PHARMA INC
14591.0,DARE BIOSCIENCE INC
14592.0,STERLING PRODS INC
14592.0,DRUG INC
14592.0,STERLING DRUG INC
14593.0,APPLE COMPUTER INC
14593.0,APPLE INC
14594.0,CORIUM INTERNATIONAL INC
14595.0,LOMBARD MEDICAL INC
14596.0,FIVE 9 INC
14597.0,BLACKHAWK NETWORK HOLDINGS INC
14598.0,AMERICAN REALTY CAP HLTHCR TR I
14599.0,HENNESSY ADVISORS INC
14600.0,IKANG HEALTHCARE GROUP INC
14601.0,NAVIENT CORP
14602.0,OPUS BANK
14603.0,PHIBRO ANIMAL HEALTH CORP
14604.0,PEOPLES FINANCIAL SERVICES CORP
14605.0,STEWART WARNER SPEEDOMETER CORP
14605.0,STEWART WARNER CORP
14606.0,APPLEBAUMS FOOD MKTS INC
14607.0,1347 PROPERTY INSURANCE HLDS IN
14608.0,SABRE CORP
14609.0,SPORTSMANS WAREHOUSE HLDGS INC
14610.0,SYSOREX GLOBAL HOLDINGS CORP
14610.0,SYSOREX GLOBAL
14610.0,INPIXON
14611.0,TARENA INTERNATIONAL INC
14612.0,TRIVASCULAR TECHNOLOGIES INC
14613.0,PACKARD MTR CO
14613.0,STUDEBAKER PACKARD CORP
14613.0,STUDEBAKER CORP
14614.0,APOLLO COMPUTER INC
14615.0,VITAL THERAPIES INC
14616.0,WEIBO CORP
14617.0,ARES MANAGEMENT LP
14617.0,ARES MANAGEMENT CORP
14618.0,CHEETAH MOBILE INC
14619.0,CIVEO CORP
14619.0,CIVEO CORP NEW
14620.0,D B X ETF TRUST
14621.0,STUDEBAKER CORP NJ
14622.0,APPLIED BIOSYSTEMS INC
14623.0,D B X ETF TRUST
14624.0,DIREXION SHARES E T F TRUST
14625.0,HERITAGE INSURANCE HOLDINGS INC
14626.0,ISHARES U S ETF TRUST
14627.0,ISHARES U S ETF TRUST
14628.0,ISHARES TRUST
14629.0,ISHARES TRUST
14630.0,JUMEI INTERNATIONAL HOLDINGS LT
14631.0,MERK GOLD TRUST
14631.0,VAN ECK MERK GOLD TRUST
14632.0,NOW INC
14633.0,P B F LOGISTICS LP
14634.0,PARSLEY ENERGY INC
14635.0,POWERSHARES E T F TRUST II
14635.0,INVESCO E T F TRUST II
14636.0,SUPERIOR DRILLING PRODUCTS INC
14637.0,TIME INC NEW
14638.0,WASHINGTON PRIME GROUP INC
14638.0,W P GLIMCHER INC
14638.0,WASHINGTON PRIME GROUP INC NEW
14639.0,WISDOMTREE TRUST
14640.0,WISDOMTREE TRUST
14641.0,ZENDESK INC
14642.0,DORIAN L P G LTD
14643.0,GASLOG PARTNERS LP
14644.0,ALCENTRA CAPITAL CORP
14645.0,AGILE THERAPEUTICS INC
14646.0,ALDER BIOPHARMACEUTICALS INC
14647.0,ALDEYRA THERAPEUTICS INC
14648.0,SUBMARINE BOAT CORP
14649.0,APPLIED COMMUNICATION INC
14650.0,BANKWELL FINANCIAL GROUP INC
14651.0,CARETRUST REIT INC
14652.0,FIRST TRUST MUNICIPAL E T F
14653.0,FIRST MID ILLINOIS BANCSHRS INC
14654.0,PAPA MURPHYS HOLDINGS INC
14655.0,J D COM INC
14656.0,SUN OIL CO
14656.0,SUN INC
14656.0,SUNOCO INC
14657.0,APPLIED CIRCUIT TECHNOLOGY INC
14657.0,TOWN PAULSEN INC
14658.0,K 2 M GROUP HOLIDINGS
14659.0,POWERSHARES ACTIVELY MANGD ETF
14659.0,INVESCO ACTIVELY MANAGED ETF TR
14660.0,NEOVASC INC
14661.0,OXBRIDGE RE HOLDINGS LTD
14662.0,ISHARES TRUST
14663.0,QUEST RESOURCE HOLDING CORP
14664.0,LOOSE WILES BISCUIT CO
14664.0,SUNSHINE BISCUITS INC
14665.0,APPLIED DATA COMMUNICATIONS
14666.0,QUOTIENT LIMITED
14667.0,RESONANT INC
14668.0,SCYNEXIS INC
14669.0,SUNEDISON SEMICONDUCTOR LIMITED
14670.0,SERVISFIRST BANCSHARES INC
14671.0,STONEGATE BANK
14672.0,SUPERIOR OIL CO DEL
14673.0,APPLICON INC
14674.0,THERAVANCE BIOPHARMA INC
14675.0,TECOGEN INC
14676.0,TUNIU CORP
14677.0,TRUECAR INC
14678.0,ISHARES TRUST
14680.0,SUPERIOR STL CORP
14681.0,APPLIED D N A SYSTEMS INC
14682.0,RAYONIER ADVANCED MATERIALS INC
14683.0,SEVENTY SEVEN ENERGY INC
14684.0,TIMKENSTEEL CORP
14685.0,FIDELITY NATIONAL FINL INC NEW
14686.0,NORTHSTAR ASSET MANAGEMENT GROU
14686.0,COLONY NORTHSTAR INC
14686.0,COLONY CAPITAL INC
14687.0,ABENGOA YIELD PLC
14687.0,ATLANTICA YIELD PLC
14688.0,AMPHASTAR PHARMACEUTICALS INC
14689.0,AEMETIS INC
14690.0,ARDELYX INC
14691.0,CYMABAY THERAPEUTICS INC
14692.0,C B D ENERGY LIMITED
14693.0,CELLULAR BIOMEDICINE GROUP INC
14694.0,GOPRO INC
14695.0,KITE PHARMA INC
14696.0,MICHAELS COMPANIES INC
14697.0,MOBILEIRON INC
14698.0,MOKO SOCIAL MEDIA LIMITED
14699.0,SYMINGTON CO
14699.0,SYMINGTON GOULD CORP
14699.0,SYMINGTON WAYNE CORP
14700.0,APPLIED HEALTH SVCS INC
14701.0,TELAUTOGRAPH CORP
14702.0,APPLIED MATERIALS INC
14703.0,MEMORIAL RESOURCE DEVELOPMENT C
14704.0,MARKIT LTD
14704.0,I H S MARKIT LTD
14705.0,MATERIALISE NV
14706.0,PARNELL PHARMACEUTICALS HLDG LT
14707.0,RADIUS HEALTH INC
14708.0,SIGNAL GENETICS INC
14708.0,MIRAGEN THERAPEUTICS INC
14709.0,UNITED DEVELOPMENT FUNDING IV
14710.0,XUNLEI LTD
14711.0,ZAFGEN INC
14712.0,ZS PHARMA INC
14713.0,ADEPTUS HEALTH INC
14714.0,ARISTA NETWORKS INC
14715.0,ASPEN AEROGELS INC
14716.0,CENTURY COMMUNITIES INC
14717.0,DAKOTA PLAINS HOLDINGS INC
14718.0,DUFF & PHELPS SEL ENR MLP FD IN
14718.0,DUFF & PHELPS SEL M M ENR FD IN
14719.0,ECLIPSE RESOURCES CORP
14720.0,ENERJEX RESOURCES INC
14720.0,AGEAGLE AERIAL SYSTEMS INC
14721.0,FORESIGHT ENERGY LP
14722.0,GABELLI GLOBAL SM & MID CP VAL
14723.0,IMPRIVATA INC
14724.0,ISHARES TRUST
14725.0,ISHARES TRUST
14726.0,ISHARES TRUST
14727.0,ISHARES TRUST
14728.0,TENNESSEE COPPER & CHEM CORP
14728.0,TENNESSEE CORP
14729.0,APPLIED MEDICAL DEVICES INC
14730.0,ISHARES TRUST
14731.0,ISHARES TRUST
14732.0,ISHARES TRUST
14733.0,J P MORGAN E T F TRUST
14734.0,NEXTERA ENERGY PARTNERS LP
14735.0,PERFORMANCE SPORTS GROUP LTD
14736.0,TEXAS CO
14736.0,TEXACO INC
14737.0,APPLIED SOLAR ENERGY CORP
14738.0,SPDR INDEX SHARES FUNDS
14739.0,SPDR INDEX SHARES FUNDS
14740.0,SPDR INDEX SHARES FUNDS
14741.0,SPDR INDEX SHARES FUNDS
14742.0,SPDR INDEX SHARES FUNDS
14743.0,SPDR INDEX SHARES FUNDS
14744.0,TEXAS & PAC RY CO
14745.0,APRIL INDUSTRIES INC DE
14746.0,SPDR INDEX SHARES FUNDS
14747.0,SPDR INDEX SHARES FUNDS
14748.0,SPDR INDEX SHARES FUNDS
14749.0,SPDR INDEX SHARES FUNDS
14750.0,SERVICEMASTER GLOBAL HOLDINGS I
14751.0,VERITIV CORP
14752.0,TEXAS PACIFIC LAND TRUST
14753.0,ZHAOPIN LTD
14754.0,T C P INTERNATIONAL HOLDINGS LT
14755.0,TRINSEO S A
14756.0,NORDIC AMERICAN OFFSHORE LTD
14757.0,ALPS E T F TRUST
14758.0,ADVISORSHARES TRUST
14759.0,ADVANCED DRAINAGE SYSTEMS INC
14760.0,TEXAS GULF SULPHUR CO
14760.0,TEXAS GULF INC
14760.0,TEXASGULF INC
14761.0,ARABIAN SHIELD DEV CO
14761.0,ARABIAN AMERICAN DEV CO
14761.0,ARABIAN AMERICAN DEVELOPMENT CO
14761.0,TRECORA RESOURCES
14763.0,CATALENT INC
14764.0,DIREXION SHARES E T F TRUST
14765.0,DIREXION SHARES E T F TRUST
14766.0,DIREXION SHARES E T F TRUST
14769.0,ISHARES TRUST
14770.0,ISHARES TRUST
14771.0,MARKET VECTORS E T F TRUST
14771.0,VANECK VECTORS E T F TRUST
14773.0,PAR PETROLEUM CORP
14773.0,PAR PACIFIC HOLDINGS INC
14774.0,PFENEX INC
14776.0,SYNCHRONY FINANCIAL
14777.0,TEKLA HEALTHCARE OPPS FD
14778.0,TOWNSQUARE MEDIA INC
14779.0,TEXAS PAC COAL & OIL CO
14780.0,ARACCA PETROLEUM CORP
14781.0,TRIBUNE PUBLISHING CO
14781.0,TRONC INC
14782.0,TRUPANION INC
14783.0,WESTLAKE CHEMICAL PARTNERS LP
14784.0,PARAGON OFFSHORE PLC
14785.0,GLOBANT S A
14786.0,ORION ENGINEERED CARBONS SA
14787.0,THIRD AVE RY CO
14787.0,THIRD AVE TRAN CORP
14788.0,ARAPAHO PETROLEUM INC
14789.0,TRANSOCEAN PARTNERS LLC
14790.0,AVALANCHE BIOTECHNOLOGIES INC
14790.0,ADVERUM BIOTECHNOLOGIES INC
14791.0,SPHERE 3D CORP
14791.0,SPHERE 3D CORP NEW
14792.0,BLUE HILLS BANCORP INC
14793.0,CAROLINA FINANCIAL CORP
14794.0,COMPASS E M P FUNDS
14794.0,VICTORY PORTFOLIOS II
14795.0,TIMKEN ROLLER BEARING CO
14795.0,TIMKEN COMPANY
14796.0,AQUACULTURE PRODUCTION TECH LTD
14797.0,CAREDX INC
14798.0,COMPASS E M P FUNDS
14798.0,VICTORY PORTFOLIOS II
14799.0,CALAMOS E T F TRUST
14800.0,COMPASS E M P FUNDS
14800.0,VICTORY PORTFOLIOS II
14801.0,GLOBEIMMUNE INC
14802.0,GARNERO GROUP ACQUISITION CO
14803.0,HEALTHEQUITY INC
14804.0,FIRST TRUST E T F VI
14805.0,IMMUNE DESIGN CORP
14806.0,INNOCOLL A G
14806.0,INNOCOLL HOLDINGS PLC
14807.0,IRADIMED CORP
14808.0,TOBACCO PRODS CORP
14809.0,AQUANAUTICS CORP
14809.0,ADVANCED OXYGEN TECHNOLOGIES IN
14810.0,INVESTAR HOLDING CORP
14811.0,LIBERTY MEDIA CORP 3RD NEW
14812.0,EL POLLO LOCO HOLDINGS INC
14813.0,MARATHON PATENT GROUP INC
14814.0,MACROCURE LTD
14815.0,MARINUS PHARMACEUTICALS INC
14816.0,SWEETS CO AMER
14816.0,TOOTSIE ROLL INDS INC
14817.0,AQUA SOL INC
14818.0,MEDICAL TRANSCRIPTION BILL CORP
14819.0,ADVISORSHARES TRUST
14820.0,MYOS CORP
14820.0,MYOS RENS TECHNOLOGY INC
14821.0,RIGHTSIDE GROUP LTD
14822.0,MINERVA NEUROSCIENCES INC
14823.0,OCULAR THERAPEUTIX INC
14824.0,UNION TANK CAR CO
14824.0,TRANS UNION CORP
14825.0,ARCHIE ENTERPRISES INC
14826.0,BIO BLAST PHARMA LTD
14826.0,BIOBLAST PHARMA LTD
14827.0,ROKA BIOSCIENCE INC
14827.0,SORRENTO TECH INC
14828.0,SAGE THERAPEUTICS INC
14829.0,SUNSHINE BANCORP INC
14830.0,SPARK ENERCY INC
14831.0,TERRAFORM POWER INC
14832.0,ARTLOOM CORP
14832.0,ARTLOOM CARPET INC
14832.0,ARTLOOM INDS INC
14832.0,TRANS UTD INDS INC
14833.0,ARCHIVE CORP
14834.0,TUBEMOGUL INC
14835.0,VASCULAR BIOGENICS LTD
14836.0,INTERSECT E N T INC
14837.0,ABSOLUTE SHARES TRUST
14838.0,ABSOLUTE SHARES TRUST
14839.0,ABSOLUTE SHARES TRUST
14840.0,TRANSUE & WILLIAMS STL FORGING
14841.0,ARCHON PURE PRODUCTS CORP
14841.0,ARCHON INC
14842.0,ABSOLUTE SHARES TRUST
14843.0,ABSOLUTE SHARES TRUST
14844.0,ABSOLUTE SHARES TRUST
14845.0,ABSOLUTE SHARES TRUST
14846.0,ABSOLUTE SHARES TRUST
14847.0,ABSOLUTE SHARES TRUST
14848.0,ABSOLUTE SHARES TRUST
14849.0,C 1 FINANCIAL INC
14850.0,DIREXION SHARES E T F TRUST
14851.0,F C B FINANCIAL HOLDINGS INC
14852.0,INDEPENDENCE CONTRACT DRILLING
14853.0,ISHARES TRUST
14854.0,PROSHARES TRUST
14855.0,RYERSON HOLDING CORP
14856.0,MOBILEYE N V
14857.0,HOEGH L N G PARTNERS LP
14858.0,V T T I ENERGY PARTNERS LP
14859.0,FOX FILM CORP
14859.0,TWENTIETH CENTURY FOX FILM CORP
14860.0,ARCS EQUITIES CORP
14861.0,BLUE EARTH INC
14862.0,CELLECTAR BIOSCIENCES INC
14863.0,COMPASS E M P FUNDS
14863.0,VICTORY PORTFOLIOS II
14864.0,IDREAMSKY TECHNOLOGY LTD
14865.0,AURIS MEDICAL HOLDING AG
14866.0,FIRST TRUST E T F IV
14867.0,UNITED STATES SMLT RFNG & MNG C
14867.0,U V INDUSTRIES INC
14868.0,ARDEN MAYFAIR INC
14868.0,ARDEN GROUP INC
14869.0,FIRST TRUST E T F IV
14870.0,GREEN BANCORP INC
14871.0,LOXO ONCOLOGY INC
14872.0,LIBERTY TRIPADVISOR HOLDINGS IN
14873.0,LIBERTY TRIPADVISOR HOLDINGS IN
14874.0,OTONOMY INC
14875.0,UNDERWOOD TYPEWRITER CO
14875.0,UNDERWOOD ELLIOT FISHER CO
14875.0,UNDERWOOD CORP
14877.0,1347 CAPITAL CORP
14877.0,LIMBACH HOLDINGS INC
14878.0,TERRAPIN 3 ACQUISITION CORP
14879.0,T2 BIOSYSTEMS INC
14880.0,WAFERGEN BIO SYSTEMS INC
14881.0,WL ROSS HOLDING CORP
14881.0,NEXEO SOLUTIONS INC
14882.0,ELDORADO RESORTS INC
14883.0,UNION BAG & PAPER CORP
14883.0,UNION BAG CAMP PAPER CORP
14883.0,UNION CAMP CORP
14884.0,VECTRUS INC
14886.0,ARK E T F TRUST
14887.0,ARK E T F TRUST
14888.0,ALIBABA GROUP HOLDING LTD
14889.0,CITIZENS FINANCIAL GROUP INC
14890.0,CIVITAS SOLUTIONS INC
14891.0,UNION OIL CO CALIF
14891.0,UNOCAL CORP
14892.0,ARGONAUT ENERGY CORP
14893.0,CLAYMORE E T F TRUST
14894.0,CLAYMORE E T F TRUST
14895.0,CLAYMORE E T F TRUST
14896.0,CLAYMORE E T F TRUST
14897.0,CLAYMORE E T F TRUST 2
14898.0,CONE MIDSTREAM PARTNERS LP
14898.0,C N X MIDSTREAM PARNERS LP
14899.0,DIVERSIFIED REAL ASSET INCOME F
14900.0,E T F SERIES SOLUTIONS
14901.0,FIRST TR EXCHANGE TRADED FD III
14902.0,GOLDMAN SACHS MLP & ENERGY REN
14904.0,UNION PACIFIC RAILROAD CO
14905.0,ARGOSYSTEMS INC
14906.0,ISHARES INC
14907.0,ISHARES TRUST
14908.0,MEDLEY MANAGEMENT INC
14909.0,SPDR INDEX SHARES FUNDS
14910.0,SPDR INDEX SHARES FUNDS
14911.0,SPDR INDEX SHARES FUNDS
14912.0,UNITED STATES RUBBER CO
14912.0,UNIROYAL INC
14913.0,ARISTEK CMNTYS INC
14913.0,HOMEFREE VILLAGE RESORTS INC
14914.0,SSGA ACTIVE E T F TRUST
14914.0,SSGA ACTIVE TRUST
14915.0,SMART & FINAL STORES INC
14916.0,SOURCE ETF TRUST
14917.0,U S C F ETF TRUST
14918.0,TRAVELPORT WORLDWIDE LTD
14919.0,ISRAEL CHEMICALS LTD
14920.0,UNITED PAPERBOARD INC
14920.0,UNITED BRD & CARTON CORP
14920.0,GARBER A L INC
14921.0,ARISTO FOODS INC
14923.0,AFFIMED THERAPEUTICS B V
14923.0,AFFIMED N V
14924.0,AURINIA PHARMACEUTICALS INC
14925.0,BRAINSTORM CELL THERAPEUTICS IN
14926.0,C D K GLOBAL INC
14927.0,CONTRAFECT CORP
14928.0,CYBERARK SOFTWARE LTD
14929.0,FOAMIX PHARMACEUTICALS LTD
14930.0,G W G HOLDINGS INC
14931.0,POWERSHARES E T F TRUST II
14931.0,INVESCO E T F TRUST II
14932.0,MIDDLEFIELD BANC CORP
14933.0,FLEXSHARES TRUST
14934.0,NXT ID INC
14935.0,PROQR THERAPEUTICS B V
14935.0,PROQR THERAPEUTICS N V
14936.0,REWALK ROBOTICS LTD
14937.0,TOKAI PHARMACEUTICALS INC
14937.0,NOVUS THERAPEUTICS INC
14938.0,VITAE PHARMACEUTICALS INC
14939.0,KEYSIGHT TECHNOLOGIES INC
14940.0,ARIZONA BK PHOENIX
14940.0,ARIZONA BANCWEST CORP
14941.0,HALYARD HEALTH INC
14941.0,AVANOS MEDICAL INC
14942.0,KIMBALL ELECTRONICS INC
14943.0,C B FINANCIAL SERVICES INC
14944.0,LIBERTY BROADBAND CORP
14945.0,A A C HOLDINGS INC
14946.0,ALPS E T F TRUST
14947.0,UNITED CIGAR STORES AMER
14948.0,ARK E T F TRUST
14949.0,ARK E T F TRUST
14950.0,ASTERIAS BIOTHERAPEUTICS INC
14951.0,B G STAFFING INC
14952.0,BLACKROCK SCIENCE & TECHNOL TR
14953.0,BOOT BARN HOLDINGS INC
14954.0,DIPLOMAT PHARMACY INC
14955.0,UNITED FRUIT CO
14955.0,UNITED BRANDS CO
14955.0,CHIQUITA BRANDS INTL INC
14956.0,DOMINION MIDSTREAM PARTNERS LP
14956.0,DOMINION ENERGY MIDSTREAM PTN L
14957.0,E T F SERIES SOLUTIONS
14958.0,ETFIS SERIES TRUST I
14959.0,EAGLE POINT CREDIT CO INC
14960.0,ENOVA INTERNATIONAL INC
14961.0,F M S A HOLDINGS INC
14961.0,FAIRMOUNT SANTROL HOLDINGS INC
14962.0,FIDELITY MERRIMACK STREET TRUST
14963.0,UNITED DRUG CO
14964.0,RYAN MORTGAGE INVESTORS
14964.0,ARLINGTON REALTY INVESTORS
14965.0,FIDELITY MERRIMACK STREET TRUST
14966.0,FIDELITY MERRIMACK STREET TRUST
14967.0,GLOBAL X FUNDS
14968.0,GLOBAL X FUNDS
14969.0,GREAT WESTERN BANCORP INC
14970.0,HUBSPOT INC
14971.0,UNITED DYEWOOD CORP
14971.0,UNITED DYE & CHEM CORP
14972.0,J P ENERGY PARTNERS LP
14973.0,KELSO TECHNOLOGIES INC
14974.0,NEW SENIOR INVESTMENT GROUP INC
14975.0,NUVEEN MINNESOTA MUNI INC FUND
14975.0,NUVEEN MN QUALITY MUNI INCOME F
14976.0,OVERSEAS SHIPHOLDING GROUP INC
14977.0,PROSHARES TRUST
14978.0,PROSHARES TRUST II
14979.0,RENAISSANCE CAPITAL GREENWICH F
14980.0,SHELL MIDSTREAM PARTNERS LP
14981.0,U S D PARTNERS LP
14982.0,VIVINT SOLAR INC
14983.0,WAYFAIR INC
14984.0,ZAYO GROUP HOLDINGS INC
14985.0,O M ASSET MANAGEMENT PLC
14985.0,BRIGHTSPHERE INVESTMENT GRP PLC
14986.0,ATENTO S A
14987.0,FIAT CHRYSLER AUTOMOBILES NV
14988.0,LIBERTY BROADBAND CORP
14989.0,SEARS CANADA INC
14990.0,ANCHOR BANCORP WISCONSIN INC NE
14991.0,ATARA BIOTHERAPEUTICS INC
14992.0,A R CAPITAL ACQUISITION CORP
14992.0,AXAR ACQUISITION CORP
14993.0,AXION POWER INTERNATIONAL INC
14994.0,DT ASIA INVESTMENTS LTD
14994.0,CHINA LENDING CORP
14995.0,CALITHERA BIOSCIENCES INC
14996.0,COMPASS E M P FUNDS
14996.0,VICTORY PORTFOLIOS II
14997.0,ISHARES U S ETF TRUST
14998.0,UNITED RYS INVT CO
14999.0,ARMSTRONG A J INC
15001.0,ETF SERIES TRUST
15001.0,RECON CAPITAL SERIES TRUST
15001.0,HORIZONS E T F TR I
15002.0,D B V TECHNOLOGIES S A
15003.0,DERMIRA INC
15004.0,ARROW INVESTMENTS TRUST
15006.0,ENTEGRA FINANCIAL CORP
15007.0,FIRST TR EXCH TRD ALPHADEX FD I
15008.0,FIFTH STREET ASSET MANAGEMENT
15009.0,FORWARD PHARMA A S
15010.0,GREAT BASIN SCIENTIFIC INC
15011.0,MELROSE BANCORP INC
15013.0,MOL GLOBAL INC
15014.0,DAVE & BUSTERS ENTERTAINMENT IN
15015.0,PROTEON THERAPEUTICS INC
15016.0,SIENTRA INC
15017.0,SINO MERCURY ACQUISITION CORP
15017.0,WINS FINANCE HOLDINGS INC
15018.0,UNITED STS DISTRG CORP
15019.0,ARNAV IND
15020.0,VASCULAR BIOGENICS LTD NEW
15021.0,E T F SERIES SOLUTIONS
15022.0,VERITEX HOLDINGS INC
15023.0,V W R CORP
15024.0,YODLEE INC
15026.0,UNITED STS EXPRESS CO
15027.0,ARNEX INDUSTRIES CORP
15028.0,ASHFORD INC
15029.0,CALIFORNIA RESOURCES CORP
15030.0,AMEC FOSTER WHEELER PLC
15031.0,ANTERO MIDSTREAM PARTNERS LP
15032.0,CAMBRIA E T F TRUST
15033.0,EHI CAR SERVICES LTD
15034.0,PRESSED STEEL CAR CO NJ
15034.0,PRESSED STEEL CAR INC PA
15034.0,PRESSED STEEL CAR INC DE
15034.0,UNITED STATES INDUSTRIES INC
15035.0,NEW PENN MTR EXPRESS INC
15035.0,ARNOLD INDUSTRIES INC
15036.0,EXCHANGE TRADED CONCEPTS TR
15037.0,FACTORSHARES TRUST
15037.0,E T F MANAGERS TRUST
15038.0,GLOBAL X FUNDS
15039.0,J P MORGAN E T F TRUST
15040.0,MARKET VECTORS E T F TRUST
15040.0,VANECK VECTORS E T F TRUST
15041.0,MILLER HOWARD HIGH INC EQUITY F
15042.0,INTERNATIONAL MERCANTILE MARINE
15042.0,UNITED STS LINES CO N V
15043.0,ARPEJA CALIFORNIA INC
15044.0,MONOGRAM RESIDENTIAL TRUST INC
15045.0,NEFF CORP
15046.0,NEVRO CORP
15047.0,NUVEEN GLOBAL HIGH INCOME FUND
15048.0,PARAMOUNT GROUP INC
15049.0,SPDR INDEX SHARES FUNDS
15050.0,UNITED STATES CAST IRN PI & FDR
15050.0,UNITED STATES PIPE & FDRY CO
15051.0,ARRAYS INC
15052.0,STORE CAPITAL CORP
15053.0,AXALTA COATING SYSTEMS LTD
15054.0,U B S GROUP A G
15055.0,NAVIOS MARITIME MIDSTR PTNRS LP
15056.0,ADMA BIOLOGICS INC
15057.0,APPLIED DNA SCIENCES INC
15058.0,CAPNIA INC
15058.0,SOLENO THERAPEUTICS INC
15059.0,COHERUS BIOSCIENCES INC
15060.0,CNOVA N V
15061.0,CIPHER PHARMACEUTICALS INC
15062.0,SECOND SIGHT MEDICAL PRODUCTS I
15063.0,FIRST TR EXCHANGE TRADED FD III
15064.0,FIRST FOUNDATION INC
15065.0,FIBROGEN INC
15066.0,FIRST TRUST E T F II
15067.0,FRESHPET INC
15068.0,HABIT RESTAURANTS INC
15069.0,UNITED STATES STEEL CORP
15069.0,U S X CORP
15069.0,U S X MARATHON GROUP
15069.0,MARATHON OIL CORP
15070.0,GLENS FALLS NATL BK & TR CO N Y
15070.0,ARROW BANK CORP
15070.0,ARROW FINANCIAL CORP
15071.0,INC RESEARCH HOLDINGS INC
15071.0,SYNEOS HEALTH INC
15072.0,JOINT CORP
15073.0,FIRST TRUST E T F IV
15074.0,NEURODERM LTD
15075.0,NEOTHETICS INC
15075.0,EVOFEM BIOSCIENCES INC
15076.0,POWERSHARES E T COMMODITY FD
15076.0,INVESCO ACT MANAGED E T COMM FD
15077.0,UNITED STS TOB CO
15077.0,U S T INC
15078.0,ARROW HART INC
15079.0,PRA HEALTH SCIENCES INC
15080.0,PEAK RESORTS INC
15081.0,FLEXSHARES TRUST
15082.0,SKY SOLAR HOLDINGS LTD
15083.0,STATE NATIONAL COMPANIES INC
15084.0,TRIUMPH BANCORP INC
15085.0,UNITED STS HOFFMAN MACHY CORP
15086.0,ARROWHEAD ENERGY CORP
15086.0,RELIANCE ENTERPRISES
15087.0,UPLAND SOFTWARE INC
15088.0,VIRGIN AMERICA INC
15089.0,XENON PHARMACEUTICALS INC
15090.0,SYMMETRY SURGICAL INC
15091.0,K L X INC
15092.0,LENDINGCLUB CORPORATION
15093.0,UNITED STS INDL ALCOHOL CO
15093.0,UNITED STS INDL CHEMS INC
15094.0,ARROWHEAD SAVINGS & LOAN ASSOC
15098.0,ALPS E T F TRUST
15099.0,C V S L INC
15099.0,JRJR33 INC
15100.0,CAMBRIA E T F TRUST
15101.0,D B X ETF TRUST
15102.0,ISHARES TRUST
15103.0,ISHARES TRUST
15104.0,KRANESHARES TRUST
15105.0,METALDYNE PERFORMANCE GROUP INC
15106.0,CENTRAL LEATHER CO
15106.0,UNITED STS LEATHER CO
15107.0,ART EXPLOSION INC
15108.0,NEW RELIC INC
15109.0,NUVEEN DOW 30 DYNAMIC OVERWR FD
15110.0,ON DECK CAPITAL INC
15111.0,POWERSHARES E T F TRUST II
15111.0,INVESCO E T F TRUST II
15112.0,REALITY SHARES E T F TR
15113.0,RESTAURANT BRANDS INTL INC
15114.0,VIVAUDOU V INC
15114.0,VADSCO SALES CORP
15114.0,UNIVERSAL LABS INC
15114.0,UNIVERSAL AMERN CO
15115.0,ARTCO BELL CORP
15115.0,ARTCO INDUSTRIES INC
15116.0,RICE MIDSTREAM PARTNERS LP
15117.0,TRIBUNE MEDIA CO
15118.0,WISDOMTREE TRUST
15119.0,WORKIVA INC
15120.0,AVOLON HOLDINGS LIMITED
15121.0,ETFIS SERIES TRUST I
15122.0,UNIVERSAL PIPE & RADIATOR CO
15123.0,ARTEK SYSTEMS CORP
15124.0,ETFIS SERIES TRUST I
15125.0,BELLICUM PHARMACEUTICALS INC
15126.0,CONNECTURE INC
15127.0,CYTOSORBENTS CORP
15128.0,HORTONWORKS INC
15129.0,HYDRA INDUSTRIES ACQ CORP
15129.0,INSPIRED ENTERTAINMENT INC
15130.0,UTAH COPPER CO
