name,gvkey_x,org,score
GOLDMAN SACHS GROUP INC,114628,"Goldman, Sachs & Co.",90
ALR TECHNOLOGIES INC,116903,"ATC Technologies, Inc.",90
NUVERA FUEL CELLS INC,141364,"Nuvera Fuel Cells, LLC",90
GLOBALSCAPE INC,147340,"GlobalSpec, Inc.",90
GO DADDY GROUP INC -REDH,175005,"The Go Daddy Group, Inc.",90
AGWAY INC,1193,Axway Inc.,89
AMERICAN LAFRANCE INC,1492,American LaFrance Corporation,89
AMPOWER TECHNOLOGIES INC,1616,"Aperia Technologies, Inc.",89
NABORS INDUSTRIES LTD,1661,"Nabors Industries, Inc.",89
APPLIED GENETICS INTL INC,1702,"Applied Genetics International, Inc.",89
AUTO TROL TECHNOLOGY CORP,1875,Auto-trol Technology Corporation,89
AUTOMATED BLDG COMPONENTS,1880,"Automated Building Components, Inc.",89
BASKIN-ROBBINS ICE CREAM CO,2079,"Baskin-Robbins USA, Co.",89
BEST BUY CO INC,2184,"Best Buy Enterprise Services, Inc.",89
FOX TECHNOLOGY INC,3234,"Forte Technology, Inc.",89
ECC INTERNATIONAL CORP,4223,ECC International Inc.,89
ESPRIT SYSTEMS INC,4451,"Escort Systems, Inc.",89
SWISS ARMY BRANDS INC,4847,"Swiss Army Brands, Ltd.",89
GARAN INC,4993,"Gatan, Inc.",89
GENERAL RESOURCES CORP-DEL,5084,General Resource Corp.,89
GENERAL SEMICONDUCTOR INDS,5085,"General Semiconductor Industries, Inc.",89
GRAPHIC SCANNING CORP,5277,"Graphic Scanning, Inc.",89
HMW INDUSTRIES INC,5410,"HED Industries, Inc.",89
HAZLETON LABORATORIES CORP,5536,"Hazleton Laboratories, Incorporated",89
INTERTECHNOLOGY SOLAR CORP,6149,Intertechnology/Solar Corporation,89
MSL INDUSTRIES INC,6893,"Masco Industries, Inc.",89
MACMILLAN BLOEDEL LTD,6919,MacMillan Bloedel Containers,89
MAGNETIC INFORMATION TECH,6954,"Magnetic Information Technology, Inc.",89
MUELLER PAUL CO,7602,Paul Mueller Company,89
PAXTON (FRANK) CO,8395,Frank Paxton Lumber Company,89
R B INDUSTRIES INC,8888,"REP Industries, Inc.",89
S.R.C. LABORATORIES INC,9334,"SBC Laboratories, Inc.",89
STACO INC,9970,"Satco, Inc.",89
STAR TECHNOLOGIES INC,10026,"SSI Technologies, Inc.",89
STARRETT L S CO,10030,The L. S. Starrett Company,89
STEEL TECHNOLOGIES INC,10044,"Semler Technologies, Inc.",89
TEXFI INDUSTRIES INC,10511,"TZI Industries, Inc.",89
WYSE TECHNOLOGY INC,11620,Wyse Technology L.L.C.,89
INTL CONTAINER SYSTEMS INC,12284,"International Container Systems, Inc.",89
LIPOSOME CO INC,12397,"Liposome Technology, Inc.",89
CHEYENNE SOFTWARE INC,12608,Cheyenne Software International Sales Corp. ,89
NPS TECHNOLOGIES GROUP INC,12735,"NDT Technologies, Inc.",89
INTL TEXAS INDUSTRIES INC,12897,"International Texas Industries, Inc.",89
FRUIT OF THE LOOM LTD,13099,"Fruit of the Loom, Inc.",89
INTERSPEC INC,13415,"Interscope, Inc.",89
DIAMOND SHAMROCK INC,13587,Diamond Shamrock Corporation,89
METCALF & EDDY COS INC,15158,"Metcalf & Eddy Technologies, Inc.",89
ANGLO AMERICAN PLC,15508,"Anglo-American, Inc.",89
BURMAH CASTROL PLC,17611,"Burmah-Castrol, Inc.",89
DAWN TECHNOLOGIES INC,21534,"Dawn Technologies, Ltd.",89
MG PRODUCTS INC,22466,"MM&R Products, Inc.",89
WTC INDUSTRIES INC,24517,"WRR Industries, Inc.",89
SCANTEK MEDICAL INC,24828,"Spartek Medical, Inc.",89
ENCON SYSTEMS INC,25522,"Envirocon Systems, Inc.",89
EIS INTERNATIONAL INC,25525,E.QU.I.P. International Inc.,89
CHART INDUSTRIES INC,25964,Chart Industries Ltd.,89
LCI INTERNATIONAL INC,28264,LCI Corporation International ,89
MINISTOR PERIPHERALS INTL,30831,MiniStor Peripherals International Limited,89
UUNET TECHNOLOGIES INC,31853,UNIKEY TECHNOLOGIES INC.,89
VODAVI TECHNOLOGY INC,61402,Vodavi Technology Corporation,89
CFM TECHNOLOGIES INC,63066,CFM Technologies Limited Partnership,89
NEXAR TECHNOLOGIES INC,64596,"Netrix Technologies, Inc.",89
KAYNAR TECHNOLOGIES INC,64727,"knf Technologies, Inc.",89
ACORN PRODUCTS INC,64964,"Acorn Products, LLC",89
VYYO INC,133732,Vayyoo Inc.,89
CROSSWORLDS SOFTWARE INC,134984,"CrossRoads Software, Inc.",89
DELCATH SYSTEMS INC,140023,"Delta Systems, Inc.",89
TASER INTERNATIONAL INC,143912,"Trak International, Inc.",89
BGF INDUSTRIES INC,146074,"BAE Industries, Inc.",89
NUVIM INC,163579,"NUVIZ, Inc.",89
APPLIED PRECISION INC -REDH,175403,"Applied Precision, LLC",89
VISION-EASE LENS CORP -REDH,176522,"Vision--Ease Lens, Inc.",89
AEC INC,1016,"Astec, Inc.",88
AEL INDUSTRIES INC,1017,"A.S.C. Industries, Inc.",88
AFG INDUSTRIES INC,1020,"Alco Industries, Inc.",88
AGM INDUSTRIES INC,1022,"Alco Industries, Inc.",88
AMI INDUSTRIES INC,1041,"Apical Industries, Inc.",88
AFFILIATED HOSPITAL PRODS,1180,"Affiliated Hospital Products, Inc.",88
ALBA WALDENSIAN INC,1235,"Alba-Waldensian, Incorporated",88
ARMAC ENTERPRISES INC,1752,"Amaroo Enterprises, Inc.",88
ARNOLD INDUSTRIES INC,1766,"Ancor Industries, Inc.",88
AUTONUMERICS INC,1898,"Atonometrics, Inc.",88
BGS SYSTEMS INC,1939,"B.J.S. Systems, Inc.",88
BALDWIN (D H) CO,1983,D. H. Baldwin Company,88
BIOCHEM INTERNATIONAL INC,2224,Bioself International Inc.,88
BURTON ENERGY & SOLAR TECH,2506,Burton Energy and Solar Technology Inc.,88
CARDIOPULMONARY TECH INC,2754,"CardioPulmonary Technologies, Inc.",88
COBURN OPTICAL INDS INC,3137,"Coburn Optical Industries, Inc.",88
E I L INSTRUMENTS INC,4147,"EG&G Instruments, Inc.",88
FARMER BROTHERS CO,4579,Farmer Bros. Co.,88
GRM INDUSTRIES INC,4967,"GOJO Industries, Inc.",88
GENERAL MEDICAL CORP,5067,General Medical Company,88
GILFORD INSTRUMENT LABS,5168,Gilford Instrument Laboratories,88
GORMAN RUPP CO,5237,The Gorman-Rupp Company,88
HAMPTON INDUSTRIES INC,5456,"Horton Industries, Inc.",88
HOWELL INDUSTRIES INC,5758,"HED Industries, Inc.",88
JOHNSON (E.F.) CO,6267,E. F. Johnson Company,88
KAR PRODUCTS INC,6345,"K-Rak Products, Inc.",88
KOLPAK INDUSTRIES INC,6493,KCS Industries Inc.,88
LIFE SCIENCES INC,6721,Life Sciences LLC,88
HOWE RICHARDSON INC,6989,Howe Richardson Scale Company,88
MAPLE PRESS CO,7012,The Maple Press Company,88
MAYER (OSCAR) & CO,7131,"Oscar Mayer & Company, Incorporated",88
MESA LABORATORIES INC,7275,"Mauch Laboratories, Inc.",88
PHYSIO TECHNOLOGY INC,8567,Phrasor Technology Inc.,88
PORTER (H.K.) INC-DEL,8683,"H. K. Porter Company, Inc.",88
PRATT (HENRY) CO,8712,Henry Pratt Company,88
PRODIGY SYSTEMS INC,8763,Prodigy Systems Corporation,88
SCOPE INDUSTRIES,9504,Sepco Industries,88
SHAW INDUSTRIES INC,9643,"SKF Industries, Inc.",88
SPECTRAVISION INC,9930,"StradVision, Inc.",88
SPEX INDUSTRIES INC,9951,"SKF Industries, Inc.",88
STANDARD COMMERCIAL CORP,9988,"The Standard Commercial Tobacco Co., Inc.",88
TEXAS INDUSTRIES INC,10498,"Telsco Industries, Inc.",88
THERATECH INC,10523,"Thermtec, Inc.",88
TRANSOCEAN OIL INC,10687,Transocean Offshore Inc.,88
VIBRATION MOUNTINGS & CTLS,11157,"Vibration Mountings & Controls, Inc.",88
WARNER ELEC BRAKE & CLUTCH,11287,Warner Electric Brake & Clutch Company,88
WEATHERHEAD CO,11324,The Weatherhead Company,88
AEP INDUSTRIES INC,11903,"A.S.C. Industries, Inc.",88
INTL CONSUMER BRANDS INC,13194,"International Consumer Brands, Inc.",88
ORTHOMET INC,14164,Orthofeet Inc.,88
AURA SYSTEMS INC,14913,AP Systems Inc.,88
KMC ENTERPRISES INC,20034,"Kaback Enterprises, Inc.",88
PROTECH INC,20051,PROTEOTECH INC.,88
INTERNEURON PHARMACEUTICALS INC,20983,"Idun Pharmaceuticals, Inc.",88
VANS INC,24419,"Vanu, Inc.",88
Express Scripts Holding Co.,25356,"Express Scripts, Inc.",88
EQUITRAC CORPORATION,25384,Equibrand Corporation,88
ONGARD SYSTEMS INC,25642,"OA Systems, Inc.",88
FORE SYSTEMS INC,30237,"French Systems, Inc.",88
IPI INC,30263,"iPosi, Inc.",88
STB SYSTEMS INC,31532,Stidd Systems Inc.,88
PREMIER FARNELL PLC,62631,Premier Farnell Corp.,88
CENTERPULSE AG,65082,Centerpulse Orthopedics Inc.,88
TRAVEL SERVICES INTL INC,65149,"Travel Services International, Inc.",88
WARNER CHILCOTT PLC,65252,"Warner Chilcott Company, LLC",88
EDWARDS J D & CO,65466,J.D. Edwards World Source Company,88
VITRIA TECHNOLOGY INC,123937,"Virtium Technology, Inc.",88
APROPOS TECHNOLOGY INC,130398,Apropros Technology,88
SILICON ENERGY CORP,144134,"Silicon Energy, Inc.",88
UNITED DEFENSE INDUSTRIES INC,145702,"United Defense, L.P. ",88
CHEVRON PHILLIPS CHEMICAL CO LLC,148210,Chevron Phillips Chemical Company LP,88
INTEGRIS METALS CORP-REDH,161111,"Integris Metals, Inc.",88
Warner Chilcott Ltd,175163,"Warner Chilcott Company, LLC",88
FRESENIUS MEDICAL CARE AG&CO,212782,Fresenius Medical Care North America,88
ADVERTISING.COM INC-REDH,266314,Advertising.Com LLC,88
AQUA CHEMICAL INC,1709,"Aqua-Chem, Inc.",87
CUSHMAN ELECTRONICS INC,3663,"Command Electronics, Inc.",87
DATATRON INC,3791,Daitron Inc.,87
DENELCOR INC,3866,"Develco, Inc.",87
DTE ENERGY CO,3897,"DTE Energy Technologies, Inc.",87
FOSTER L B CO,4860,L. B. Foster Company,87
GNI GROUP INC,4954,Genesis Group Inc.,87
HELEN OF TROY LTD,5572,Helen of Troy Corporation,87
LEISURE GROUP INC,6663,The Leisure Group,87
OHIO BRASS CO,8098,The Ohio Brass Company,87
PENGO INDUSTRIES INC,8428,"Pony Industries, Inc.",87
RICHARDSON CO,9124,The Richardson Company,87
SEARLE (G.D.) & CO,9560,G. D. Searle and Company,87
SORG PAPER CO,9822,The Sorg Paper Company,87
SUPREME EQUIP & SYSTEMS CORP,10204,Supreme Equipment and Systems Corp.,87
ORASURE TECHNOLOGIES INC,12915,"OPERR Technologies, Inc.",87
DISEASE DETECTION INTL,13274,Disease Detection International Inc.,87
TIMBERLAND CO,13554,The Timberland Company,87
TELESCAN INC,19438,"Tekscan, Inc.",87
QUALITY PRODUCTS INC,22567,Quality Product LLC,87
UNIROYAL CHEMICAL CORP,23606,"Uniroyal Chemical Company, Inc.",87
AUTHENTIC FITNESS CORP,25431,"Authentic Fitness Products, Inc. ",87
IMAGE INDUSTRIES INC,28729,"Ibec Industries, Inc.",87
PANDA PROJECT INC,30216,The Panda Project,87
MICRO INTEGRATION CORP,30240,Micro-Integration Corporation,87
I2 TECHNOLOGIES INC,62712,"i2 Technology US, Inc.",87
DELCO REMY INTERNATIONAL INC,65697,Rowe International Inc.,87
MOLL INDUSTRIES INC,121033,"Mebco Industries, Inc.",87
US SEARCH CORP COM,121693,US Search.Com INC,87
LAM PHARMACEUTICAL CORP,122219,"Lam Pharmaceuticals, LLC.",87
SGL CARBON SE,206703,SGL Carbon Composites,87
HYDROGEN ENERGY CORP,2209,Hydrogen Energy America LLC,86
CSP INC,2573,"CRP, Inc.",86
CASABLANCA INDS INC,2801,"Casablanca Industries, Inc.",86
CLARKSON INDUSTRIES INC,3097,Carson Industries LLC,86
COASTAL INDUSTRIES INC,3131,"Crest Industries, Inc.",86
CROSS A T CO,3612,A. T. Cross Company,86
DESTRON INC,3891,Datron Inc.,86
DOCUTEL OLIVETTI CORP,4013,Docutel/Olivetti Corporation,86
DYNATEC INTERNATIONAL INC,4123,"Darton International, Inc.",86
ELECTRO CATHETER CORP,4265,Electro-Catheter Corporation,86
ELECTRON MACHINE CORP,4281,The Electron Machine Corporation,86
EMERY ENERGY INC,4325,"Emery Energy Company, L.L.C.",86
CELLEX BIOSCIENCES INC,4349,"Cleave Biosciences, Inc.",86
ENERGY RESOURCES CORP,4363,"Energy Resources Company, Inc.",86
ENTRON INC,4406,"Enthone, Inc.",86
ENTWISTLE CO,4408,The Entwistle Company,86
EVEREST&JENNINGS INTL,4471,"Everest & Jennings International, Ltd.",86
FLINTKOTE CO,4780,The Flintkote Company,86
FOSTER GRANT INC,4862,Foster Grant Corporation,86
GENOVA INC,5120,"Genomas, Inc.",86
HI-TECH INDUSTRIES INC,5615,"HOPLITE INDUSTRIES, INC.",86
"InterDigital, Inc.",6100,InterDigital Communications Corporation,86
JEFFERSON PILOT CORP,6241,Jefferson Pilot Financial Insurance Company,86
MC INC,6860,"MCMS, Inc.",86
MICROSIZE INC,7348,"Microvasive, Inc.",86
MIDLAND ENTERPRISES INC,7370,Mondi Enterprises Inc.,86
NARDA MICROWAVE CORP,7687,The Narda Microwave Corporation,86
NORWESCO INC,8006,"NOSCO, Inc.",86
OPELIKA MFG CORP,8156,Opelika Manufacturing Corp.,86
PHOTON INC,8563,Photon-X,86
RPC INC,8901,"RWC, Inc.",86
RESEARCH FUELS INC,9070,"Research Plus, Inc.",86
TCBY ENTERPRISES INC,10271,"Tomax Enterprises, Inc.",86
TSR INC,10305,"TDS, Inc.",86
TETRA SYSTEMS INC,10483,"TaxNet Systems, Inc.",86
TRANSDUCER SYSTEMS INC,10681,"TransMed Systems, Inc.",86
UI GROUP INC,10802,"USSC Group, Inc.",86
VIVIGEN INC,11208,"Vivint, Inc.",86
WAVERLY INC,11316,"Waverx, Inc.",86
THERAPEUTIC TECH INC,11767,"Therapeutic Technologies, Inc.",86
MET COIL SYSTEMS CORP,11797,Met-Coil Systems Corporation,86
AQUASCIENCES INTL INC,12461,"Aquasciences International, Inc.",86
VERSAR INC,12804,"VersaMe, Inc.",86
INTELLICARD INTL INC,12810,"Intellicard International, Inc.",86
COMPUMED INC,13316,Comed Inc. ,86
MITEK SYSTEMS INC,14113,"Multex Systems, Inc.",86
NORBORD INC,14313,"Norbco, Inc.",86
XTRANA INC,14378,"Xytrans, Inc.",86
MENLEY & JAMES INC,24850,"Menley & James Laboratories, Ltd.",86
TELMED INC,25677,"Treymed, Inc.",86
PRIME RESOURCES GROUP INC,26487,Prime Resources Corp.,86
BRANDT TECHNOLOGIES INC,28899,"Binj Technologies, Inc",86
AQUA CARE SYSTEMS INC,28996,"Animal Care Systems, Inc.",86
FRACMASTER LTD,29012,"Fracmaster, LLC",86
DEFLECTA SHIELD CORP,29611,"Deflecta-Shield Accessories, Inc.",86
RESMED INC,31887,"REMEDEV, INC.",86
FIBERCORE INC,61226,"FiberSource, Inc.",86
LCC INTERNATIONAL INC,63635,LCD International L.L.C. ,86
ONTRACK DATA INTL INC,63836,"Ontrack Data International, Inc.",86
TRIANGLE PHARMACEUTICALS INC,63941,Theaprin Pharmaceuticals Inc.,86
CRAGAR INDUSTRIES INC,64172,"Corral Industries, Inc.",86
INTERNATIONAL ISOTOPES INC,65280,"International Spike, Inc.",86
POWER ONE INC,65554,"Power Panel, Inc.",86
ESOFT INC,66636,Ephesoft Inc.,86
PROTHERICS PLC,104850,Protherics Inc.,86
MUSE TECHNOLOGIES INC,115946,"Midrex Technologies, Inc.",86
RAMP NETWORKS INC,121561,"RGB Networks, Inc.",86
PRINCIPAL FINANCIAL GROUP,123557,"Principal Financial Services, Inc.",86
SYMYX TECHNOLOGIES INC,126601,SJM Technologies,86
DOV PHARMACEUTICAL INC,147201,"Dogwood Pharmaceuticals, Inc.",86
VERINT SYSTEMS INC,147242,"Vitek Systems, Inc.",86
LAND O LAKES INC,148276,Cenex/Land O'Lakes Agronomy Company ,86
PNY TECHNOLOGIES INC-REDH,158717,PHPK Technologies Inc.,86
ARTES MEDICAL INC,174743,"ASTUTE MEDICAL, INC.",86
ASM INTERNATIONAL NV,1166,AC International Inc.,85
ANGIOMEDICS INC,1657,Angiomedics Corporation,85
DETREX CORPORATION,3895,The Dexter Corporation,85
ELECTRIC HOSE AND RUBBER CO,4258,Electric Hose & Rubber Company,85
HARTZ MOUNTAIN CORP,5506,The Hartz Mountain Corporation,85
LEISURE PRODUCTS INC,6668,"Lucerne Products, Inc.",85
PHARMACARE INC,8532,"Paracure, Inc.",85
PHYSIO CONTROL CORP,8566,Physio-Control Corporation,85
PIEZO ELECTRIC PROD,8583,"Piezo Electric Products, Inc.",85
POLYCAST TECHNOLOGY CORP-OLD,8662,Polycast Technology Corporation,85
ROBERTSON CECO CORP,9180,Robertson-Ceco Corporation,85
SOLAR INDUSTRIES INC,9808,"Selco Industries, Inc.",85
WALLACE-MURRAY CORP,11273,Wallace Murray Corporation,85
OMNI FILMS INTL INC,14925,"Omni Films International, Inc.",85
EAGLE INDUSTRIES INC,15127,"Eckel Industries, Inc.",85
ADVANCED PROMOTION TECH INC,24217,"Advance Promotion Technologies, Inc.",85
GSE SYSTEMS INC,61077,"Gigamos Systems, Inc.",85
ROSS TECHNOLOGY INC,61502,"RoMark Technology, Inc.",85
HALTER MARINE GROUP INC,63659,"Halter Marine Services, Inc.",85
CHOICEPOINT INC,65156,ChoicePoint Asset Company,85
MED GEN INC,109522,"Med General, Inc.",85
THERMA WAVE INC,115245,Therma-Wave Partners,85
AMERICAN AXLE & MANUFACTURING HOLDINGS INC,117861,"Americam Axle & Manufacturing, Inc.",85
TUT SYSTEMS INC,117905,"Tatara Systems, Inc.",85
INFINEON TECHNOLOGIES AG,132740,Infineon Technolgies NA Corp.,85
ADVEST GROUP INC,1148,"Asten Group, Inc.",84
AEQUITRON MEDICAL INC,1151,"AERIN MEDICAL, INC.",84
ANACONDA CO,1628,The Anaconda Company,84
BIO-MEDICUS INC,2219,"BiO2 Medical, Inc.",84
CURTIS MATHES CORP,3658,Curtis Mathes Manufacturing Co.,84
DERMA-LOCK MEDICAL CORP-OLD,3881,Derma-Lock Medical Corporation,84
DREYERS GRAND ICE CREAM HOLDINGS INC,4078,"Dreyer's Grnad Ice Cream, Inc.",84
HELENE CURTIS INDS,5574,"Helene Curtis Industries, Inc.",84
HYDRO OPTICS INC,5807,Hoya Optics Inc.,84
INTL BASIC ECONOMY,6063,International Basic Economy Corporation,84
MAGNAVOX CO,6952,Magnavox Consumer Electronics Company,84
MAPCO INC,7008,"Mepaco, Inc.",84
NATIONAL CAR RENTAL SYS-OLD,7709,"National Car Rental System, Inc.",84
OFFSHORE CO,8091,The Offshore Company,84
SW INDUSTRIES INC,9341,S W Industries,84
SEVEN-UP CO,9626,The Seven-Up Company,84
SIMPLEX WIRE AND CABLE CO,9741,Simplex Wire & Cable Company,84
SYCOR INC,10228,"Syroco, Inc.",84
TEXAS OIL & GAS CORP,10503,Texas Oil and Gas Corporation,84
TOWLE MANUFACTURING CO-OLD,10633,Towle Manufacturing Company,84
VOICEMAIL INTL INC,11211,"Voicemail International, Inc.",84
AUSIMONT NV,12230,"Ausimont USA, Inc.",84
NEECO INC,12248,"Nellco, Inc.",84
CLEVITE INDUSTRIES INC,12525,"Creative Industries, Inc.",84
BALDWIN TECHNOLOGY CO INC,12992,Baldwin Technology Corporation,84
ANGIO MEDICAL CORP,13303,Angio-Medical Corporation,84
LARIZZA INDUSTRIES INC,13692,"Limrak Industries, Inc.",84
NOVATEK INTERNATIONAL INC,24123,NATE International,84
AMERICAN WAGERING INC,62829,"American Wind, Inc.",84
SS&C Technologies Holdings Inc,62965,"Scram Technologies, Inc.",84
IONA TECHNOLOGIES PLC,64420,"Invoy Technologies, LLC",84
CHICAGO BRIDGE & IRON CO N V,64549,Chicago Bridge & Iron Technical Services Company,84
ONTRO INC,110532,"OnStor, Inc.",84
COLLINS & AIKMAN FLOOR COVERINGS INC,117438,"Collins & Aikman Floorcoverings, Inc.",84
VIALTA INC,144889,"Vatra, Inc.",84
ION TRACK INC-REDH,149317,"Ion Track Instruments, Inc.",84
INTERCARD INC-REDH,156858,"Intercard Payments, Inc.",84
SYNGENTA AG,241216,"Syngenta Crop Properties, Inc.",84
AMERICAN SAFETY EQUIP CORP,1552,American Safety Equipment Corporation,83
CF & I STEEL CORP,2541,"CF&I Steel, L.P.",83
CWC INDUSTRIES INC,2584,CHA Industries,83
CENTAUR SCIENCES INC,2838,Cellular Sciences Inc.,83
DATA PROBE INC,3766,Data Probe Corporation,83
DATAVISION INC,3792,Datavision Technologies Corporation (formerly Excnet Corporation),83
ERBAMONT N.V.,4436,"Erbamont, Inc.",83
GTE PRODUCTS CORP,4968,"GTE Sylvania Products, Inc.",83
GARBER (A L) INC,4994,The A. L. Garber Co.,83
KOENIG INC-OLD,6487,"Rawson-Koenig, Inc.",83
LIPE ROLLWAY CORP,6754,Lipe-Rollway Corporation,83
LOWENSTEIN (M.) CORP,6828,M. Lowenstein Corporation,83
MINNETONKA CORP,7438,"Minnetonka, Inc.",83
POWELL INDUSTRIES INC,8699,"Preco Industries, Inc.",83
REFLECTONE INC,9015,"Refcon, Inc.",83
REGAL BELOIT CORP,9016,Regal-Beloit Corporation,83
ROSELON INDUSTRIES,9238,"Rosemont Industries, Inc.",83
SCHAEFER (F.&M.) CORP,9451,The F. & M. Schaefer Brewing Company,83
SPECTRUM LABORATORIES INC,9939,"Streck Laboratories, Inc. ",83
STEVCOKNIT INC,10081,Stevcoknit Fabrics Co.,83
STRATOFLEX INC,10104,"Strato, Inc.",83
THERMATRON INC,10536,"Thermonator, Inc.",83
UNITED PARCEL SERVICE INC,10920,United Parcel of America Inc.,83
WHEELABRATOR CORP,11458,"Wheelabrator Environmental Systems, Inc.",83
YOUNGSTOWN RESEARCH&DEVELOP,11658,The Youngstown Research & Development Co.,83
SCOPAS TECHNOLOGY CO INC,12182,Scopas Technology Corporation,83
PERCEPTION TECHNOLOGY CORP,12217,"Perception Technologies, LLC",83
EDISON CONTROLS CORP,12436,Edison Control Corporation,83
TELENETICS CORP,14019,"Telenetics, Inc.",83
COMPUTALOG LTD,14048,"Computalog Research, Inc.",83
TOYOTA MOTOR CORP,19661,"Toyota Motor Sales, U.S.A., Inc.",83
U S ROBOTICS CORP,24548,U.S. Robotics Corporation ,83
PROTOCOL SYSTEMS INC,25076,"Photonics Systems, Inc.",83
Transocean Ltd.,28338,Transocean Offshore Inc.,83
STATORDYNE CORP,28550,Statordyne LLC,83
APROGENEX INC,29009,"Aeronex, Inc.",83
METROWERKS INC,29879,Metrowerks Corporation,83
SEROLOGICALS CORP,60875,Serologicals Royalty Company,83
ERGO SCIENCE CORP,61717,Ergo Science Incorporated,83
ULTRAFEM INC,62218,"Ultrafab, Inc.",83
GEOSCIENCE CORP,62880,Geoscience Ltd,83
NORTH FACE INC,63199,The North Face ,83
METRIS COMPANIES INC,63870,Metris USA Inc.,83
ZIFF-DAVIS INC,66716,Ziff-Davis Publishing Company,83
SONOSITE INC,66728,"Sonowise, Inc.",83
COBALT GROUP INC,122534,"CAO Group, Inc.",83
GETTHERE COM,126715,GetThere Inc.,83
3 DIMENSIONAL PHARMACEUTICALS INC,138490,"Dogwood Pharmaceuticals, Inc.",83
INVISA INC -OLD,139137,"Inviso, Inc.",83
Spansion Inc.,163772,Spansion LLC,83
BRUNTON CO,2446,The Brunton Company,82
BULLARD CO,2478,The Bullard Company,82
CHARAN INDUSTRIES INC,2932,"Conbraco Industries, Inc.",82
CRUMP COS INC,3632,"The Crump Group, Inc.",82
DUAL LITE INC,4088,Dual-Lite Company,82
CENTRUM INDUSTRIES INC,4364,"Coltron Industries, Inc.",82
EVERSHARP INC,4474,Eversharp Pen Co,82
FELTERS CO,4620,The Felters Company,82
CHEMFIRST INC,4719,Chemfirst Electronic Materials L.P.,82
FOXBORO CO,4873,The Foxboro Company,82
GABRIEL INDUSTRIES INC,4965,"Gilmore Industries, Inc.",82
HEIN WERNER CORP,5566,Hein-Werner Corporation,82
INSPIRATION CONS COPPER CO,5979,Inspiration Consolidated Copper Company,82
KENDALL CO,6384,The Kendall Company,82
FIRST MEDICAL GROUP INC,6654,"LVI Group, Inc.",82
MILLER INDUSTRIES INC,7402,Millett Industries,82
MOTCH & MERRYWEATHER MCHY CO,7580,The Motch & Merryweather Machinery Company,82
NETWORD INC,7818,Netword LLC ,82
OEA INC,8046,Ohmeda Inc. ,82
OKONITE CO,8115,The Okonite Company,82
ROLFITE CO,9220,The Rolfite Company,82
SPANG INDUSTRIES INC,9917,"Sea-Land Industries, Inc.",82
STELBER INDUSTRIES INC,10052,"Spectre Industries, Inc.",82
STELLAR INDUSTRIES INC-DEL,10054,"State Industries, Inc.",82
UNIVATION INC,12235,"Univation Technologies, LLC",82
TIFFANY & CO,13646,Tiffany and Company,82
LILLIAN VERNON CORP,13693,Lillan Vernon Corporation,82
MULTI COLOR CORP,13782,MULTI-COLOR CORPORATION,82
TAT TECHNOLOGIES LTD,14229,"TT Technologies, Inc.",82
REMITTANCE TECHNOLOGIES CORP,18024,Remittance Technology Corporation,82
AGRIDYNE TECHNOLOGIES INC,24928,"ArmaGen Technologies, Inc.",82
SYNAGRO TECHNOLOGIES INC,25480,"Stanford Technologies, Inc.",82
FRONTLINE LTD-OLD,29290,"Frontline, Inc.",82
STRATASYS LTD,30847,"Stratasys, Inc.",82
HPR INC,61160,"Hypres, Inc.",82
SIMWARE INC,61373,"Symwave, Inc.",82
BACOU USA INC,62505,"Bacou USA Safety, Incorporated",82
THERMO SENTRON INC,62513,Thermo Noran Inc.,82
DECRANE AIRCRAFT HOLDINGS INC,64634,"DeCrane Aircraft Seating Company, Inc.",82
COMMSCOPE INC,65142,"Commscope Properties, LLC",82
INTERVU INC,65880,"Interez, Inc.",82
QUANTUM EFFECT DEVICES INC,129083,"Wuantum Effect Design, Inc.",82
NETGENICS INC,134965,Netgenics Corp.,82
DISPLAYTECH INC-REDH,160583,Displaytech Incorporated,82
ORBCOMM Inc.,175004,ORBCOMM LLC,82
ACAMBIS PLC,211897,"Acambis, Inc.",82
BUCKEYE INTL INC,2451,"Buckeye International, Inc.",81
CAMPBELL INDS,2659,Campbell Industries,81
CITIZENS & SOUTHERN CORP-GA,3070,The Citizens and Southern National Bank,81
DUPLEX PRODUCTS INC,4101,"Depuy Products, Inc.",81
FLAMEMASTER CORP,4758,The Flamemaster Corporation,81
GEO INTERNATIONAL CORP,5131,Goss International Corporation,81
ROM-AMER PHARMACEUT,9227,"Rom-Amer Pharmaceuticals, Ltd.",81
STRIDE RITE CORP,10109,"Stride Rite International, Ltd.",81
SUNTEC SYSTEMS INC,10179,Scalent Systems Inc.,81
THERMAL SYSTEMS INC,10528,"Teamon Systems, Inc.",81
TRICO INDUSTRIES,10731,"Tropic Industries, Inc.",81
ECONO THERM SYSTEMS CORP-OLD,12414,Econo-Therm Energy Systems Corporation,81
AMER MEDICAL ELECTRONICS INC,12447,American Medical Electronics Corporation,81
FISHER SCIENTIFIC INTERNATIONAL INC,13204,Fisher Scientific Company,81
RADON TESTING CORP OF AM INC,13732,Radon Testing Corporation of America,81
SERV TECH INC,17117,"Spine-Tech, Inc.",81
SPHINX PHARMACEUTICALS CORP,24892,Sino Pharmaceuticals Corporation,81
GEMSTAR INTERNATIONAL GROUP LTD,62261,"Gemstar-TV Guide International, Inc.",81
