i,PARENT COMPANY NAME
4761,Rumpke Consolidated Companies Inc.
4763,"Owens Corning, Inc."
4764,Energy Systems Co.
4765,"Rumpke Sanitary Landfill, Inc."
4768,Scottsboro Solid Waste Authority
4772,Crow Wing County
4776,"C-K Tech, Inc."
4777,City of Lompoc
4778,Blue Island Phenol LLC
4779,Imerys Clays Inc
4780,"Delta Natural Gas Company, Inc."
4784,Pima County
4785,Flakeboard  America Limited
4786,Watertown Municipal Utilities
4788,"Lake County, Montana"
4789,City of Santa Maria
4790,City of Brownsville
4791,"Interstate Resources, Inc."
4792,"Landfill 33, LTD"
4794,Versado Gas Processors LLC
4795,Fulton County Department of Solid Waste
4798,"St. Barbara Cement, Inc."
4799,"Westlake Vinyls Company, LP"
4800,Weyerhaeuser Company
4803,"Ventura Refining and Transmission, LLC"
4804,BreitBurn Energy Company LP
4806,"Lufkin Industries, Inc."
4808,"Quad/Graphics, Inc."
4809,City of Statesboro
4810,Charlotte Pipe & Foundry Company
4812,Manatee County Government
4814,Central Michigan University
4815,Yakima County Public Services - Solid Waste Division
4818,Middle Tennessee Natural gas Utility District
4819,"HK USA Holdings, Inc."
4820,"The Hanor Company of Wisconsin, LLC"
4830,Waste Management Inc.
4835,Rock River Environmental Services
4841,Titanium Metals Corp. (TIMET)
4844,Brown County Port & Solid Waste Department
4847,Milliken & Co.
4850,Sunnyside Cogeneration Associates
4853,EASTMAN CHEMICAL CO
4854,Town of Bourne
4856,Oil-Dri Corporation of America
4861,"Mueller Water Products, Inc."
4863,Counties of Warren / Washington Industrial Development Agency
4865,"Quantum Resources Management, LLC"
4867,Arkansas Oklahoma Gas Corporation
4871,Berry Petroleum Company
4874,"Missouri Ethanol, LLC d/b/a POET Biorefining - Laddonia"
4875,Taminco Inc.
4876,Commissioners of Public Works
4877,American Proteins Inc.
4879,"City of Lawton, Oklahoma"
4882,"TreeHouse Foods, Inc."
4888,"Koch Enterprises, Inc."
4899,Tri-County Natural Gas
4911,"Bunge North America, Inc."
4914,Brevard County Board of County Commissioners
4916,Lenoir County Landfill
4919,"Enterprise Products Operating, L.P."
4920,Mercer Lime & Stone 
4922,Blue Earth County Environmental Services
4923,University of Northern Iowa
4924,Sussex County MUA 
4925,J.R. Simplo Company
4927,Erving Industries
4928,White Birch Paper Company
4929,Greater New Bedford Regional Refuse Management District
4931,Recology
4934,Algonquin Power Fund (America) Inc.
4938,West Linn Paper Company
4939,"Marquis Energy - Wisconsin, LLC"
4940,OSRAM SYLVANIA INC
4941,Hormel Foods Corporation
4942,Monmouth County Board of Chosen Freeholders
4943,Uniboard USA LLC
4944,Brown County
4945,Cimarex Energy Co.
4948,City of San Diego
4949,Daikin America Inc.
4951,Washington County
4953,Oxy Long Beach Inc. 
4955,GrafTech International LTD
4959,Amgen Inc.
4960,"MPIH, Inc."
4963,"Bunge Oils, Inc."
4964,Mallinckrodt Inc
4968,Peru Utilities
4969,City of St. James
4970,Enterprise Hydrocarbons LP
4971,"City of Florence, AL"
4972,Santee Print Works Inc
4973,Rio Bravo Jasmin
4974,Rio Bravo Poso
4975,"Osceola County, Florida"
4976,Daviess County Fiscal Court
4980,Montgomery Regional Solid Waste Authority
4981,L.P. Gill Incorporated
4982,"South Stage Landfill, Inc."
4983,Metropolitan Airports Commission
4984,Charles County Department of Public Facilities
4988,"Amalgamated Warbasse Houses, Incorporated"
4991,Columbian Chemicals
4992,Hopkinsville Elevator Company
4993,Cliffs Natural Resources
4994,"Summit Materials, LLC"
4995,"Thermagen Power Group, LLC"
4996,American Crystal Sugar Company
4997,Libbey Inc.
4998,Libbey Inc
4999,S. D. Warren Company
5001,"Calumet Shreveport Lubricants and Waxes, LLC"
5002,Columbian Chemicals Company
5003,Norit Americas Inc.
5005,"Tristream Energy, LLC"
5009,University of Massachusetts 
5010,Gaston County Government
5011,Alamance County
5014,Department of the Air Force
5015,"Jo-Carroll Energy, Inc.(NFP)"
5017,Al-Corn Clean Fuel
5018,Precision Cast Parts Corp.
5019,Talisman Energy USA Inc.
5020,"Town of Colonie, NY"
5021,"Solvay Chemicals, Inc."
5022,Municipality of Arecibo
5023,"Macquarie Infrastructure Company, LLC"
5024,WEST TENNESSEE PUBLIC UTILITY DISTRICT
5025,Municipality of Guaynabo
5026,North Star BlueScope LLC
5029,Municipality of Toa Baja
5031,City of Gallatin
5032,"Abengoa Bioenergy US Holding, Inc"
5034,Covanta Holding Corporation 
5036,"Veyance Technologies, Inc."
5037,Murphy Brown subsidiary of Smithfield Foods
5039,"Southern Union Gas Services, Ltd."
5041,Alyeska Pipeline Service Company
5043,Murphy Brown a subsidiary of Smithfield Foods
5049,"Caterpillar, Inc."
5051,Nonpareil Corporation
5052,City of Lawrenceville
5054,"Smithfield Foods, Inc."
5055,"Commonwealth Plywood Company, Ltd"
5057,Brownsville Public Utilities Board
5058,"DELTA AIR LINES, INC."
5060,"600 Land, Inc."
5061,"Southern Union Pipeline, Ltd."
5063,"Western New York Energy, LLC"
5066,PQ Corporation
5067,City of Casper
5071,Rio Tinto America Holdings Inc.
5072,TransCanada American Investments Ltd
5074,City of Vernon
5081,Gas Natural Inc.
5082,"Casella Waste Systems, Inc."
5092,Florim USA Inc.
5093,Trustees of Dartmough College
5094,"Alexander & Baldwin, Inc."
5095,"Chugach Electric Association, Inc."
5096,EQ - The Environmental Quality Company
5097,"Rumpke of Kentucky, Inc."
5099,County of Wayne
5101,Lyon County 
5102,Montgomery County Government
5103,Northeast Mississippi Solid Waste Management Authority
5105,Gevo
5106,Fayetteville Public Utilities
5108,Loyola University Health System
5109,McCarthy Bush Corporation
5110,City of Monroe North Carolina
5111,Stepan Company
5112,"Neenah Paper, Inc."
5114,Worcester County Department of Public Works
5115,"Alpha Natural Resources, Inc."
5117,Carolina Stalite Company
5118,Spotsylvania County
5119,CIty of Westfield
5122,Clemson University
5123,"Searles Valley Minerals, Inc."
5125,United States Sugar Corporation
5126,PMC Group
5127,County of Maui
5128,City of Savannah - Refuse Disposal Department
5130,City of El Paso
5132,City of Conway
5133,Northeast Arkansas Regional Solid Waste Management District
5134,Arkema Inc.
5135,Occidental Petroleum Corporation/Vintage Production California LLC
5136,"Pine Lake Corn Processors, LLLP"
5138,"Bonanza Creek Energy, Inc."
5140,"DiGeronimo Aggregates, LLC"
5141,Volusia County Board of County Commissioners
5142,City of Benton
5146,Rice County
5147,American Standard Brands
5148,Steel Dust Recycling LLC
5149,William Beaumont Hospital
5150,J.M. Huber Corporation
5151,AMERICAN HONDA MOTOR CO INC
5152,FUJIFILM Holdings America Corporation
5153,"Apple Tree Holdings, LLC"
5157,"Texas Disposal System Landfill, Inc."
5159,Local Government
5160,CONSOL Energy Inc.
5162,Lehigh Cement Company LLC
5163,Glacial Lakes Corn Processors
5166,Crook County Government
5168,Cardinal Glass Industries
5170,"Cutrale Citrus Juices USA, Inc."
5171,Calumet Specialty Products Partners 
5172,Lexington Fayette Urban County Government
5176,Tehama County/City of Red Bluff Waste Managment Agency
5177,"Husker Ag, LLC"
5178,Tazewell County Board of Supervisors
5181,"Marquis Energy, LLC"
5183,"CASELLA WASTE SYSTEMS, INC"
5184,City of Orangeburg Department of Public Utilities
5185,Douglas County Public Works
5186,Dofasco Holdings Inc. [dba. ArcelorMittal Tubular Products USA Corporation] 
5189,City of Fort Morgan
5191,Angelina Co. Waste Management Center
5192,"XTO Enregy, Inc."
5193,"Barrow Utilities & Electric Cooperative, Inc."
5194,Craighead Co. Solid Waste Disposal Authority
5195,City of St. George Utah
5201,Cowlitz County
5202,Amgen Inc
5203,"Smithfield Foods, Inc"
5205,Mars Inc.
5208,"City-County Sanitation, Inc."
5209,"Dominion Resources, Inc.`"
5210,Fibrek U.S. Inc.
5211,"Universal Stainless & Alloy Products, Inc."
5212,Pepsico
5213,INNOVIA FILMS INC
5214,City of Portland
5215,Chester County Natural Gas Authority
5219,AMR Corporation
5221,City of Wrens
5222,"Intrepid Potash, Inc."
5224,Upper Southwest Regional Solid Waste Management District
5225,ATI Ladish LLC
5226,"Michelin North America, Inc"
5227,Hitachi Metals America
5228,Inergy Propane LP
5229,"Mead Johnson & Company, LLC."
5231,The Gas Board of the City of Boaz
5232,City of Covington Tennessee
5233,"EcoElectrica, LP"
5234,ALTAIR PARTNERS LP
5235,Pennsylvania State Department of Corrections
5237,Vulcan Materials Company
5238,Mitsubishi Electric US Holdings
5239,Lincoln County
5240,City of Gloversville
5241,NORESCO
5242,Eastern Michigan University
5244,City of Boston
5245,Temple University of the Commonwealth System of Higher Education Facilities Management
5246,Oldcastle Lawn and Garden
5247,"Standard Ethanol, LLC"
5249,City of Gary
5251,"City of Lubbock, Texas"
5252,Southern Union
5257,Chautauqua County
5260,"ThyssenKrupp Steel USA, LLC"
5263,McLeod Health
5267,"Rentech, Inc."
5268,"KMG Chemicals, Inc."
5269,"Beaulieu Group, LLC"
5270,TRADEMARK NITROGEN CORPORATION
5271,Caesars Entertainment Corporation
5272,City of Detroit
5273,US DEPT OF THE ARMY
5275,City of Sylvania
5276,Hoeganaes Corporation
5278,"Olam West Coast, Inc."
5280,"Licking Rural Electrification, Inc., dba The Energy Cooperative"
5281,"Farmland Foods, Inc."
5282,"Lopez Foods, Inc."
5284,Orange County 
5285,Bellefield Boiler Plant
5287,"East Jordan Iron Works, Inc."
5288,Olmsted County
5290,"Rustick, LLC"
5291,City of Clarksville City Government
5292,C&T Enterprises
5293,Noranda Aluminum Holding Corporation
5294,Surry County Landfill
5295,"Standard Steel Holdings, LLC"
5296,Carbide Industries LLC
5297,"Gas Natural, Inc"
5298,New Mexico State University
5299,Minnesota Pollution Control Agency
5301,MINNESOTA POLLUTION CONTROL AGENCY
5302,Chesapeake Utilities Corporation
5307,Wayne State University
5309,"Nemak USA, Inc."
5310,The State of Kansas
5318,UGI Corporation
5322,Morehead Utility Plant Board
5323,CSL Behring LLC
5324,ROCK-TENN CO
5325,Shaw Industries Inc.
5326,City of Cheyenne
5327,"STEEL DYNAMICS, INC."
5329,"Highwater Ethanol, LLC"
5330,Lifespan
5331,Vista Metals Corp.
5332,American Refining Group
5333,Isolatek International
5334,City of Albemarle Landfill
5336,State Of Utah
5338,ISP CHEMCO LLC
5339,Tronox Inc.
5342,City of Tacoma
5343,Henderson Municipal Power and Light
5347,Ashland Inc. 
5350,Intermountain Power Agency
5351,St Barbara Cement
5352,NEW RIVER SOLID WASTE ASSOCIATION
5355,City of Thomasville
5359,DeKalb County Public Works Department Sanitation Division
5361,Elementis PLC
5364,Los Alamos County Department of Public Utilities
5365,Conopco
5367,E & J Gallo Winery
5370,"Rogue Valley Properties, Inc."
5371,Temple Inland
5372,Escambia County Board of County Commissioners
5373,"California Dairies, Inc."
5376,Commonwealth of Virginia
5378,Mitsubishi Cement Corporation
5380,Navajo Tribal Utility Authority
5381,City of Port Arthur
5382,Minnesota Pollution control Agency
5383,City of Richmond
5385,Appleton Papers Inc.
5386,NAVAJO TRIBAL UTILITY AUTHORITY
5389,ecomaine
5390,UIL Holding Corporation
5391,JX Nippon Oil and Energy
5395,U.S. GOVERNMENT ~ CHIEF OF NAVAL RESEARCH
5400,Summit County Resource Allocation Park
5402,State of North Carolina
5404,"City of Lancaster, Ohio"
5405,Walton EMC
5406,"Summit Utilities, Inc."
5407,Dunn Paper Inc
5410,Domtar Paper Company LLC
5411,Snake River Sugar Company
5414,Tanadgusix Corporation
5418,Carver-Marion-Wareham (CMW) Regional Refuse Disposal District
5420,River Birch Inc.
5421,Maryland Environmental Service (Independent State Agency)
5422,"Campbell County, Virginia"
5424,Arkema Delaware Inc
5426,Utilities Board of the City of Trussville
5428,Frontier Ethanol dba POET Biorefining- Gowrie
5431,"Maxim Power (USA), Inc [Registered Agent: The Corporation Trust Company of Nevada] "
5432,Port Townsend Paper Corporation
5433,Delaware County Solid Waste Authority
5434,"O'Brien Industrial Holdings, LLC"
5435,Conocophillips
5437,International Paper Company
5445,Saint-Gobain North America
5446,Tyson Foods
5449,American Crystal Sugar
5450,Horsehead corporation
5452,PCM (US) Steering Holding Inc.
5453,"Schnitzer Steel Industries, Inc."
5456,Dyno Nobel Inc. 
5457,Randolph County
5460,Aux Sable Liquid Products LLC
5461,Belden Holding & Acquisition Company
5464,City of Fairhope
5466,City of Chanute
5470,City of Whittier
5471,City of Newport News
5472,National Grid Port Jefferson Energy Center LLC
5474,Florida State University
5476,"CF Industries, Inc"
5483,Green Plains 
5487,"Intrepid Potash, Inc"
5489,"Perennial Power Holdings, Inc."
5491,"Arkansas Steel Associates, LLC"
5492,"City of Ames, Iowa"
5493,"NuStar Energy, L.P. "
5500,Aucilla Area Solid Waste Facility
5501,Green Plains Renewable Energy
5502,Cargill
5504,The Mosaic Company
5505,Cowtown Gas Processing Partners L.P.
5508,"Great Point Power, LLC"
5509,Sasol North America Inc.
5510,Asahi Glass Company
5511,Local County Government
5512,Alphapet Inc. 
5515,"Dyno Nobel, Inc."
5519,Oldcastle Building Products
5525,Solid Waste Disposal Authority
5526,Richmond Sanitary District
5527,CHICAGO DEPARTMENT OF AVIATION
5531,Eagle County Solid Waste and Recycling
5536,"Inergy Midstream, LLC"
5540,Premier Ethanol
5541,Martin Marietta Materials
5545,"Olympus Power, LLC."
5546,East Central Solid Waste Commission
5548,Alliant Techsystems Operations LLC
5550,Southern Minnesota Beet Sugar Cooperative
5551,City of Palo Alto
5554,University of Chicago
5555,Covanta holding Corporation
5557,B.Braun Medical Inc.
5558,Frederick County Board Of County Commissioners
5560,Lake Apopka Natural Gas District
5563,Lake County Dept of Utilityes
5564,Hunt Consolidated Inc.
5565,"S.B. Acquisitions, Inc."
5569,ENSTAR Natural Gas Company
5571,"Hawaiian Electric Company, Inc."
5572,Cowtown Pipeline Partners L.P.
5577,City of Tyler
5581,Countrymark Cooperative LLP
5584,Stark Thermo LLC
5585,Petrobras USA
5586,"Plainfield Asset Management, LLC"
5588,Arkansas Glass Container Corporation
5589,Neenah Enterprises Incorporated
5590,Howard County
5591,"TIN, Inc., dba Temple Inland"
5592,City of Mountain View
5593,"Shell Petroleum Inc.  (Shell Chemical LP - Norco, LA) "
5594,"Motiva Enterprises, LLC"
5595,Lexington County Public Works Department
5597,Humphreys County Utility District
5598,Cardinal Glass Industries Inc
5599,"Coulter Companies, Inc."
5600,City of Morgan City
5601,JMC Steel Group
5605,Northeast Maryland Waste Disposal Authority
5607,Dyno Nobel Inc.
5610,Order of Saint Benedict/Saint John's University
5612,"Heron Lake BioEnergy, LLC"
5613,Nan Ya Plastics Corporation of America
5617,Temple-Inland
5620,"Linde North America, Inc"
5621,Martin County Board of County Commissioners
5622,"Washington Mills North Grafton, Inc."
5623,Austin Utilities
5625,Dixie Chemical Company
5627,Arizona Electric Power Cooperative
5628,"Bavarian Trucking Company, Inc."
5629,"Enterprise South Texas Gathering, L.P."
5632,TRC Solutions Inc.
5637,Quad County Corn Processors
5638,Golden Triangle Regional Solid Waste Management Authority
5639,Crosstex Energy Services LP
5641,Energen Corporation
5646,City of Glasgow
5649,Nucor Steel Corporation
5652,Newman & Company
5653,Blue Heron Paper Company
5656,Gerresheimer Glass Inc 
5660,Tate & Lyle Ingredients America LLC
5661, 
5663,Wausau Paper Corporation
5665,Henderson County
5669,Arctic Slope Regional Corporations
5674,Kyowa Hakko Bio
5677,"CF Industries, Inc."
5678,"Showa Denko Carbon, Inc"
5679,Iowa Ethanol LLC D.B.A. POET Biorefining - Hanlontown
5680,U.S. Sugar Corp.
5681,"Formosa Plastics Corporation, USA"
5682,CONOCOPHILLIPS CO
5683,Duferco US Investment Corp.
5686,"HJ Heinz Co, LP"
5689,"Western Wisconsin Energy, LLC"
5690,"Tetra Technologies, Inc."
5691,City of Duluth
5692,Rome-Floyd County Solid Waste Commission
5693,City of Ft. Smith
5694,Steelcase Inc
5695,"City of Birmingham, AL"
5699,"Deerfield Production and Refining, Inc."
5708,Halocarbon Products Corporation
5711,W.R. Grace& Co.-Conn.
5714,Putnam Couny BOCC
5720,"Sterling Ethanol, LLC"
5721,Athens-Clarke County Unified Government
5726,"Kimberly-Clark Corporation, Owensboro Operations"
5732,Dyno Nobel Inc
5733,ExxonMobil Corporation
5736,Henrico County Department of Public Works
5738,Rowan University
5748,CertainTeed Corporation
5749,"Central Indiana Ethanol, LLC"
5750,FPLE Forney LLC
5751,FPL Energy Lamar Power
5752,MillerCoors
5753,Prospect Capital Corporation
5755,City of LA
5758,Dane County
5763,District Energy St. Paul
5764,Blandin Paper Company
5765,Erie County Board of Commissioners
5766,Pacific Coast Producers
5768,Pacific Coast Building Products
5770,RC Lonestar
5772,RC Lonestar Inc.
5774,Air Liquide America LP
5777,City of Kerrville
5780,JBS USA
5784,Whirlpool Corporation
5786,GlaxoSmithKline LLC
5792,Shell Chemical LP
5793,Webster Parish Police Jury
5794,Essroc Cement Company
5796,United Ethanol LLC
5797,Bear Mountain Ltd.
5798,Reno County 
5799,"Homeland Energy Solutions, LLC"
5805,Anheuser Busch Inc
5808,Great River Regional Waste Authority
5809,ESSROC CEMENT CO
5811,County of Hawaii
5815,Will County
5817,"City of Ann Arbor, Michigan (municipally owned)"
5824,Coffee County Commission
5825,"Rutgers, The State University of New Jersy"
5827,"Navistar, Inc"
5830,Fortistar 
5831,Town of Brookhaven
5832,Arizona Board of Regents for and on behalf of Arizona State University
5837,Indeck Energy Services Inc.
5838,"Eurofresh, Inc."
5839,Forest Preserve District of DuPage County
5841,Archer Daniels Midland 
5843,Lafayette Utilities System
5845,"CEMEX Construction Materials Atlantic, LLC"
5846,"Braskem America, Inc"
5847,San Diego County Department of Public Works
5848,Merced County Regional Waste Management
5851,Oklahoma Environmental Management Authority
5853,"County of Santa Cruz, Department of Public Works"
5855,City of Fort Worth
5858,Four-S Oil Company
5859,Municipality of Salinas
5861,City of Kings Mountain
5863,"Mid-American Engergy Holdings, Co."
5864,whirlpool corporation
5866,"Mohawk Industries, Inc"
5867,Emory University
5869,St. Landry Parish Solid Waste Disposal District
5873,Plains Exploration& Production Company
5876,Greer Industries
5878,"Crosstex LIG, LLC"
5879,TRUNKLINE LNG Company
5881,Republic Services
5884,Boise Inc
5889,"Keystone Sanitary Landfill, Inc."
5891,"Carmeuse Lime & Stone, Inc"
5896,"Leggett & Platt, Inc."
5898,Geneva Nitrogen LLC
5899,Malt-O-Meal Company
5901,Petrologistics
5902,City of Albany
5903,Clark County
5905,Newton County Board of Commissioners
5907,Daimler North America Corporation
5909,Rhode Island Resource Recovery Corporation
5916,Duquesne University
5920,"TransLoad America, Inc."
5921,"Glanbia Foods, Inc."
5924,City of Dublin
5930,Perry Ridge Landfill
5931,"Transworld Oil USA, Inc."
5942,"Clarion Industries, Inc"
5943,E. I. du Pont de Nemours and Company
5945,"ONEOK Partnership, L.P."
5947,Minn-Dak Farmers Cooperative
5950,FMC Corporation
5957,"Charles County, MD"
5965,"National Oilwell Varco, LP"
5968,Land and Lakes Company
5969,City of Amarillo
5970,Three Rivers Solid Waste Authority
5976,GrafTech International Ltd.
5978,Sanofi Pasteur Inc.
5980,"CEMEX,Inc."
5981,Green Plains Renewable Energy Inc.
5982,New Page Holding Corporation
5986,Dakota Coal Company
5992,Pratt Industries
5993,"Freeport McMoRan Copper & Gold, Inc."
5995,Questar Corportion
5998,Pike Sanitation Inc.
5999,"Thermal Ventures II, L.P."
6005,Edgeboro Inc. - the Parent Company of the Reporting Entity (Edgeboro Disposal Inc.)
6008,Pepco Holdings Incorporated
6011,EQT Corporation
6013,NiSource Inc.
6016,"Taiheiyo Cement U.S.A., Inc."
6022,Buncombe County Solid Waste Services
6026,"Algonquin Power Windsor Locks, LLC"
6030,Tube City IMS
6031,Arkema Inc
6032,EXXONMOBIL CORP
6033,South Utah Valley Solid Waste District
6035,City of Lebanon
6036,Geneva Energy LLC
6037,ROCK-TENN COMPANY
6040,Excide Technologies
6041,"DSM Chemicals Holding Company, Inc."
6045,Val Verde Gas Gathering Company L.P.
6049,Fred Weber
6051,Delek US Holdings
6052,University of Arizona/Arizona Board of Regents
6053,Del Monte Corporation
6054,"Silver Eagle Oil, Inc."
6058,HOVENSA LLC
6059,Massachusetts Port Authority
6060,"Longview Fibre Paper and Packaging, Inc."
6063,Nelson County Fiscal Court
6066,DeSoto Parish Police Jury
6067,Teck American Incorporated
6070,Buckeye Technologies Inc.
6073,Ozark Mountain Solid Waste District
6077,GELITA North America Inc.
6078,City of Winfield
6079,J.L. French Corporation Gateway
6080,The Mount Sinai Medical Center
6082,Rochester District Heating Cooperative
6083,"Montana-Dakota Utilities, a Division of MDU Resources Group, Inc."
6085,MDU Resources Group Inc.
6087,"Project Orange Associates, LLC"
6088,"Calumet Lubricants Company, LP"
6089,"Calumet Lubricants Company, L.P."
6090,Western Placer Waste Management Authority
6093,State Government
6099,Garco Energy LLC
6105,Iredell County
6108,"Boise, Inc"
6109,BOISE INC
6114,City of Booneville
6116,Acadia Parish Police Jury
6118,"Goodway Refining, LLC"
6120,Enpower Corp
6121,"Project Hawkeye, LLC"
6122,Ohio Valley Aluminum LLC
6123,"The Renco Group, Inc"
6127,Titan International Inc.
6130,City of Canton Sanitary Landfi8ll
6133,Snohomish County
6139,"Clover Flat Landfill, Inc."
6142,Florida Crystals Corporation
6143,City of Virginia Beach
6150,Philadelphia Gas Works
6152,Sun Capital 
6153,Saint-Gobain Corporation
6155,"Koch Industries,Inc."
6159,United Dairymen of Arizona
6160,"Walter Energy, Inc."
6163,"AutoZone, Inc."
6169,Leprino Foods
6170,Nassau County Board of County Commissioners
6178,Atlas Holdings LLC
6179,Minnesota Soybean Processors
6180,"Midwest Energy, Inc."
6181,MGM Resorts International
6182,The Johns Hopkins University
6184,Campbell Soup Compnay
6185,Bartow County Government
6186,Westlake Chemical Corp.
6189,BP America Inc. 
6190,City of Glendale - Water and Power
6191,City of Long Beach
6192,"W.E. Power, LLC"
6196,"City of Irving, Texas"
6197,Waterville Gas Company
6200,Southwest Gas Corporation
6203,National Cement Company
6204,Corning INC.
6208,York County Solid Waste & Refuse Authority
6209,Catalyst Paper (Snowflake) Inc.
6210,City of Austin
6211,Wellesley College
6213,Hastings Utilities (HU-WEC1) / City of Hastings Nebraska
6214,Public Power Generation Agency (PPGA-WEC2)
6215,United States Department of Energy
6217,"IPR-GDF SUEZ Energy North America, Inc."
6218,Lafarge NA Inc.
6223,Rhodia Inc.
6224,3M
6228,Kalaeloa Partners L.P.
6229,"CHS, Inc."
6230,Prairie Ethanol LLC dba Poet Biorefining
6234,Mexichem Fluor Inc.
6235,"Licking Rural Electrification, Inc., dba The Energy Cooperative "
6237,SUMCO Phoenix Corporation
6238,Washington University Medical School
6239,City of Linden
6240,Mayo Clinic
6241,Mountaineer Gas Holdings Limited Partnership
6242,"Pentex, LLC"
6245,"Formosa Plastics Corp, USA"
6247,Abengoa Bioenergy Corpopration
6251,Childrens Hospital Medical Center
6258,"GNA Financing, INC"
6260,Waste Management Inc
6262,"City of Sunrise, Florida"
6266,Santa Fe Solid Waste Management Agency
6278,EDISON INTERNATIONAL
6282,"United States of America, acting by and through the Architect of the Capitol"
6283,"Graphic Packaging International, Inc."
6288,Dalton Utilities
6291,Agrifos Fertilizer L.L.C.
6296,"Giles Holdings, L.P."
6297,Wilkes County
6298,Landfill of North Iowa
6299,TRC Cypress Group
6303,Columbia Gas Transmission LLC
6311,Batesville Natural Gas 
6312,Kootenai County
6313,"Morgan Foods, Inc."
6314,Montana Waste Systems
6315,"Nissan North America, Inc."
6317,"Reliant E & P, LLC"
6323,"Environmental Logistics Services, LLC"
6325,THE UNIVERSITY SYSTEM OF GEORGIA
6329,Doe Run Resources Company
6330,"Snyder Associated Companies, Inc"
6333,City of Henderson
6335,PowerSmith Cogeneration 
6336,Oak Ridge Utility District
6351,"Gallatin County, Montana"
6352,Fairbanks North Star Borough
6353,City of Atlanta
6359,"Holcim (US), Inc."
6360,"Leon County, FL"
6361,"Department of Sanitation Services, City of Dallas, Texas"
6362,"East Penn Manufacturing co., inc."
6363,Leprino Foods Inc
6365,Golden Triangle Energy
6366,The Utilities Board of the City of Foley
6367,Bayer Group
6369,Westmoreland Coal Company 
6371,TWIN Landfill Corporation
6378,GRANITI FIANDRE Spa
6392,Leflore County Municipal Solid Waste Landfill
6394,Century Aluminum Company
6395,"Firestone Polymers, LLC"
6396,"Signal Hill Wichita Falls Power, LP"
6398,Polk County Board of County Commissioners
6399,Live Oak Ltd.
6401,City of Alexandria
6402,FUEL
6403,IPR-GDF SUEZ Energy North America
6404,Cavendish America Inc.
6410,ReEnergy Holdings
6412,University of California
6418,Marion County Board of County Commissioners
6421,"Armstrong World Industries, Inc"
6422,International Paper 
6425,OXEA CORP
6428,CONAGRA FOODS INC.
6431,Sherwin Alumina Company LLC
6432,Charter Manufacturing
6433,Commonwealth of Massachusetts
6439,"Western Refining Southwest, Incorporated"
6448,FMC Corporate
6449,Michelin North America Inc.
6453,"Gregory Power Partners, LP"
6458,SE Choctaw LLC
6462,Pfizer Inc
6463,Front Range Energy
6465,"Jackson County, Michigan"
6467,Freeport-McMoRan Copper and Gold
6469,AES Eastern Energy LP
6472,"The Williams Companies, Inc."
6474,State of Louisiana - Division of Administration
6477,"City of Montgomery, Montgomery Alabama"
6480,City of Sacramento
6481,"Alon USA Energy, Inc."
6482,Georgia Pacific LLC
6488,Chemtura Corporation
6489,Burlington County
6490,Nestle USA Inc.
6491,U.S. Government
6494,"Town of Somerville, Tennessee"
6496,Mesa County Government
6497,"City of Greensboro, North Carolina"
6499,J-Power USA Development Co. ltd
6503,"City of Ripley, MS"
6504,Decatur Utilities
6509,York County Natural Gas Authority
6511,Pratt Industries LLC
6513,"Rowan County, North Carolina"
6518,Lane County
6519,Deer Park Refining Limited Partnership
6525,Fulton County Georgia
6526,United Refining Inc.
6528,City of Rensselaer Gas Utility
6535,Murray Natural Gas
6536,Humboldt Utilities
6543,"Wicomico County, Maryland"
6546,"CEMEX de Puerto Rico, Inc."
6547,Berkshire Gas Corporation
6548,Mecklenburg County
6549,NW Natural
6563,Saint-Gobain Corporation North America Inc.
6564,Dow Corning Corporation
6566,"PPL Ironwood Holdings, LLC"
6571,James Valley Ethanol
6572,Winnebago County Solid Waste Management Board
6573,South Alabama Gas District
6575,"Red Shield Acquisition, LLC."
6577,"Con Edison, Inc."
6578,"Altair Disposal Services, LLC"
6580,Merisol Limited Partnership
6581,"Outagamie County, Wisconsin"
6584,City of Durham
6587,Shelby County Commission
6588,Municipality of Fajardo
6589,Syracuse University
6590,"Shoosmith Bros., Inc.  "
6591,Hollingsworth & Vose
6592,City of Richland
6594,Enviro Solutions Inc.
6597,Municipal Electric Authority of Georgia (MEAG Power)
6604,"Enbridge US, Inc"
6607,"SUEZ-DEGS of Tuscola, LLC"
6610,Praxair Inc.
6611,"Spirit AeroSystems Holdings, Inc."
6612,Corning Natural Gas Corporation
6614,Cullman-Jefferson Counties Gas District
6615,Municipality of Carolina
6618,"Indeck Energy Services, Inc."
6621,Yukon-Nevada Gold Corp.
6626,City of Clearwater
6627,LCY Elastomers LP
6628,Municipality of San Juan
6629,"TARR, LLC"
6630,State of North Dakota
6633,J. M. Huber Corporation
6634,City of Detroit - Board of Water Commissioners
6639,"AER NY-Gen, LLC"
6641,"Seymour of Sycamore, Inc."
6643,"Grant County, Washington"
6644,PUBLIC SERVICE CO OF NEW MEXICO
6645,University of Nebraska
6646,"Erachem Comilog, Inc."
6651,Alabama Municipal Electric Authority
6662,Allen County Kansas
6663,"Alcan Rolled Products - Ravenswood, LLC"
6664,Municipality of Toa Alta
6665,ADS WASTE HOLDINGS INC
6666,NewPage Holding Corporation 
6667,County of San Joaquin
6669,"Fountaintown Gas Co., Inc."
6670,REC Silicon Inc
6684,The Sinclair Companies
6686,St. Lucie County Commissioners
6688,Guam Power Authority
